x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2655402,53.4204534,6.50453E+18,22,3,0,1,0,1,2,1.414213562,2,1.414213562
-2.2655963,53.4294419,8.6856E+18,38,4,5,1,2,3,3.333333333,1.825741858,1.111111111,0.608580619
-2.2656636,53.4402279,-6.95426E+18,58,3,1,3,5,3,2.666666667,1.632993162,0.888888889,0.544331054
-2.2656917,53.4447221,-7.90344E+18,59,1,1,3,1,1.5,1,1,0.666666667,0.666666667
-2.2657816,53.4591036,8.32048E+18,166,2,2,4,1,2.25,1.583333333,1.258305739,0.703703704,0.559246995
-2.2658602,53.4716873,3.4098E+18,125,1,2,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2641192,53.4339394,-5.53016E+16,54,3,5,3,6,4.25,2.25,1.5,0.529411765,0.352941176
-2.2641527,53.4393324,-1.79913E+18,68,2,7,2,5,4,6,2.449489743,1.5,0.612372436
-2.2641806,53.4438266,-6.92219E+18,42,3,3,2,1,2.25,0.916666667,0.957427108,0.407407407,0.425523159
-2.2643426,53.4698929,-5.11941E+18,46,0,1,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2625364,53.4213589,-5.44115E+18,93,2,3,4,9,4.5,9.666666667,3.109126351,2.148148148,0.690916967
-2.2625531,53.4240555,-5.94413E+18,35,2,2,1,4,2.25,1.583333333,1.258305739,0.703703704,0.559246995
-2.2626418,53.4384369,-5.60821E+18,68,2,5,3,4,3.5,1.666666667,1.290994449,0.476190476,0.368855557
-2.262664,53.4420323,-6.10492E+18,74,1,5,3,7,4,6.666666667,2.581988897,1.666666667,0.645497224
-2.2626751,53.44383,4.84177E+18,21,2,0,1,2,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2627028,53.4483242,6.05508E+17,46,0,0,2,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2627695,53.4591102,5.2283E+18,192,6,3,7,4,5,3.333333333,1.825741858,0.666666667,0.365148372
-2.2628028,53.4645032,-4.91449E+18,65,0,1,1,1,0.75,0.25,0.5,0.333333333,0.666666667
